name,_id,run_start_time,run_end_time,status,status_message,add_diesel_generator_one_distribution_center.batt_storage_capacity,add_diesel_generator_one_distribution_center.generator,add_diesel_generator_one_distribution_center.pv_power,create_doe_prototype_building.building_type,create_doe_prototype_building.climate_zone,batt_discharge_power,batt_initial_charge,batt_max_soc,batt_min_soc,epw_file,meter_name,reporting_frequency,template
DOE Autogenerated 999,ea3b4548-3e61-43a5-842e-9f33c3f0a02a,2022-07-15T22:25:33.811Z,2022-07-15T22:27:58.067Z,completed,completed normal,50.0,55kW Diesel,30.0,RetailStandalone,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 308,201af774-512a-47aa-9696-2a9f459e53c2,2022-07-15T21:45:38.977Z,2022-07-15T21:48:01.743Z,completed,completed normal,12.5,55kW Diesel,25.0,SmallOffice,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 1504,d2126859-2005-4368-93d7-a522949937aa,2022-07-15T22:56:39.574Z,2022-07-15T22:59:07.617Z,completed,completed normal,10.0,55kW Diesel,20.0,SmallOffice,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 1419,f7389cba-3a57-4a5e-b648-d79bc1326f16,2022-07-15T22:51:39.680Z,2022-07-15T22:54:14.877Z,completed,completed normal,100.0,80kW Diesel,10.0,SmallOffice,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 1855,dc79af22-6dfa-46c0-8001-8c606d055ce6,2022-07-15T23:17:42.643Z,2022-07-15T23:20:16.484Z,completed,completed normal,70.0,55kW Diesel,50.0,SmallOffice,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 2340,fc5f93ca-f668-4f23-b361-072280fe363d,2022-07-15T23:48:03.563Z,2022-07-15T23:50:45.859Z,completed,completed normal,10.0,42kW Diesel,40.0,RetailStandalone,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 1264,aa118a0d-18d1-4380-9a2f-ec7ce8304d7f,2022-07-15T22:42:17.616Z,2022-07-15T22:44:51.451Z,completed,completed normal,35.0,42kW Diesel,0.0,SmallOffice,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 2505,8dfb2e43-18fb-41e4-be67-fb3b2f72706b,2022-07-15T23:58:25.295Z,2022-07-16T00:00:23.600Z,completed,completed normal,250.0,80kW Diesel,50.0,RetailStandalone,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 1032,4434f6f7-5c20-48bd-a132-a716b9359c75,2022-07-15T22:27:43.047Z,2022-07-15T22:30:19.149Z,completed,completed normal,17.5,42kW Diesel,35.0,RetailStandalone,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 1226,40bef314-be29-439e-90ed-3a2724a2cf1f,2022-07-15T22:39:47.548Z,2022-07-15T22:42:33.160Z,completed,completed normal,35.0,55kW Diesel,50.0,RetailStandalone,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 1783,43c2f478-a0d4-4335-86d0-a97051f70625,2022-07-15T23:13:29.285Z,2022-07-15T23:16:08.790Z,completed,completed normal,250.0,42kW Diesel,45.0,SmallOffice,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 344,87a7f6e2-10e3-46f7-8f96-d3668ae15fb9,2022-07-15T21:47:45.559Z,2022-07-15T21:50:07.238Z,completed,completed normal,5.0,42kW Diesel,30.0,SmallOffice,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 1567,c5d26f1c-afe9-46fe-8a6a-f30e7e4eaa0e,2022-07-15T23:00:27.251Z,2022-07-15T23:02:59.503Z,completed,completed normal,30.0,55kW Diesel,25.0,SmallOffice,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 50,74f0029c-0bb8-4c67-819b-bdc51708c0f3,2022-07-15T21:32:15.496Z,2022-07-15T21:34:22.735Z,completed,completed normal,70.0,80kW Diesel,0.0,SmallOffice,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 1310,276bff4d-2420-4305-aa5f-1ea4e3b70c86,2022-07-15T22:45:01.122Z,2022-07-15T22:47:30.692Z,completed,completed normal,350.0,80kW Diesel,0.0,SmallOffice,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 2146,d2d51db0-71e7-442a-8806-e26dfd941143,2022-07-15T23:35:58.205Z,2022-07-15T23:38:23.441Z,completed,completed normal,350.0,55kW Diesel,20.0,RetailStandalone,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 2184,6438e719-57ad-4115-b20e-ff2fc116d895,2022-07-15T23:38:17.006Z,2022-07-15T23:41:02.182Z,completed,completed normal,350.0,42kW Diesel,25.0,RetailStandalone,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 1399,37d3163d-b242-4ff7-9e5b-5138015d3b14,2022-07-15T22:50:24.326Z,2022-07-15T22:52:57.849Z,completed,completed normal,70.0,55kW Diesel,10.0,SmallOffice,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 249,c8ae2a22-5cbd-4bf9-a343-6181d017394e,2022-07-15T21:41:48.306Z,2022-07-15T21:44:05.443Z,completed,completed normal,5.0,55kW Diesel,20.0,SmallOffice,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 675,d7c58926-f142-4eb4-871b-ffe95dae0579,2022-07-15T22:05:57.835Z,2022-07-15T22:08:39.100Z,completed,completed normal,35.0,80kW Diesel,0.0,RetailStandalone,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 1305,89520b9d-ba4d-430e-922c-ac0986a65441,2022-07-15T22:44:40.870Z,2022-07-15T22:47:10.351Z,completed,completed normal,100.0,80kW Diesel,0.0,SmallOffice,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 1489,35b3d262-8e2b-4174-bacf-4f961a45f235,2022-07-15T22:55:38.667Z,2022-07-15T22:58:10.131Z,completed,completed normal,20.0,42kW Diesel,20.0,SmallOffice,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 2197,76463114-cf61-4f9b-bf94-1aa277e8ccbb,2022-07-15T23:39:16.533Z,2022-07-15T23:41:59.880Z,completed,completed normal,70.0,55kW Diesel,25.0,RetailStandalone,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 2112,4e93b0e9-33b8-4123-9130-773440dee0b6,2022-07-15T23:33:44.469Z,2022-07-15T23:36:26.324Z,completed,completed normal,10.0,42kW Diesel,20.0,RetailStandalone,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 1346,59ea5aa1-2e4f-4b40-8a1b-ce8cd083db44,2022-07-15T22:47:11.285Z,2022-07-15T22:49:42.379Z,completed,completed normal,250.0,55kW Diesel,5.0,SmallOffice,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 1353,8e1e89be-2719-4ec8-90e0-e400d0a371dd,2022-07-15T22:47:32.670Z,2022-07-15T22:50:07.376Z,completed,completed normal,12.5,80kW Diesel,5.0,SmallOffice,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 1162,38ab593b-c3af-4712-b733-7abbd147b8a6,2022-07-15T22:35:31.918Z,2022-07-15T22:38:07.737Z,completed,completed normal,10.0,55kW Diesel,45.0,RetailStandalone,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 1206,859d95ca-53c2-4bf8-b602-b8be424cdfb8,2022-07-15T22:38:20.451Z,2022-07-15T22:41:01.292Z,completed,completed normal,30.0,42kW Diesel,50.0,RetailStandalone,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 1921,acbe2892-c4f1-41a6-bedd-f7a4a6216c88,2022-07-15T23:21:41.908Z,2022-07-15T23:24:11.807Z,completed,completed normal,5.0,80kW Diesel,0.0,RetailStandalone,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 1144,0ccdd56b-e6dc-4307-8b14-5d81dd8802a3,2022-07-15T22:34:46.249Z,2022-07-15T22:37:22.364Z,completed,completed normal,12.5,42kW Diesel,45.0,RetailStandalone,ASHRAE 169-2013-6B,,,,,,,,
